연번,자치구,신호등종류,위도,경도,주소
90,강남구,보행등,37.49145976,127.0724711,강남구 개포동 10천
91,강남구,보행등,37.47590829,127.0593971,강남구 개포동 141 대
92,강남구,보행등,37.49895108,127.06068,강남구 대치동 973-24 대
93,강남구,보행등,37.49074316,127.0352914,강남구 역삼동 792-7 대
94,강남구,보행등,37.46623573,127.1182237,강남구 세곡동 101-10 도
95,강남구,보행등,37.47627495,127.0587924,강남구 개포동 660-12 대
96,강남구,보행등,37.51049367,127.0364749,강남구 논현동 250-20 대
97,강남구,보행등,37.53477632,127.0347948,강남구 압구정동 484천
98,강남구,보행등,37.49822338,127.0446244,강남구 역삼동 712-2 대
99,강남구,보행등,37.49874629,127.0448034,강남구 역삼동 712 공
100,강남구,보행등,37.51310272,127.0204794,강남구 논현동 2-7 대
101,강남구,보행등,37.50433808,127.0485682,강남구 역삼동 135-4 대
102,강남구,보행등,37.50454746,127.0485573,강남구 역삼동 135-4 대
103,강남구,보행등,37.50478216,127.0489786,강남구 삼성동 172-106 도
104,강남구,보행등,37.51412716,127.0308315,강남구 논현동 78-4 대
105,강남구,보행등,37.50844171,127.0384516,강남구 역삼동 273-5 대
106,강남구,보행등,37.50888208,127.0385052,강남구 논현동 264-7 학
107,강남구,보행등,37.52436924,127.0475844,강남구 청담동 113-6 대
108,강남구,보행등,37.52403778,127.0477915,강남구 청담동 117-22 대
109,강남구,보행등,37.52391528,127.0476561,강남구 청담동 117-22 대
110,강남구,보행등,37.52388748,127.0473763,강남구 청담동 117 대
111,강남구,보행등,37.52396215,127.0471508,강남구 청담동 116-10 대
112,강남구,보행등,37.52437136,127.0470692,강남구 청담동 114-10 대
113,강남구,보행등,37.52329004,127.0416893,강남구 청담동 82-7 대
114,강남구,보행등,37.49489596,127.0485814,강남구 역삼동 757 대
115,강남구,보행등,37.50280461,127.0586452,강남구 대치동 956-16 대
116,강남구,보행등,37.50410784,127.0621868,강남구 대치동 947-2 대
117,강남구,보행등,37.48847545,127.0820778,강남구 일원동 709-7 도
118,강남구,보행등,37.50302397,127.0583586,강남구 대치동 956-1 대
119,강남구,보행등,37.50289049,127.058437,강남구 대치동 956-12 대
120,강남구,보행등,37.50322285,127.0584236,강남구 대치동 1012-111 도
121,강남구,보행등,37.50331129,127.0586709,강남구 대치동 1012-111 도
122,강남구,보행등,37.50320633,127.0589228,강남구 대치동 956-4 대
123,강남구,보행등,37.50308334,127.0590253,강남구 대치동 956-9 대
124,강남구,보행등,37.52022575,127.0304711,강남구 논현동 595-7 대
125,강남구,보행등,37.51893572,127.0499733,강남구 청담동 66 공
126,강남구,보행등,37.51867804,127.0505077,강남구 삼성동 66-4 공
127,강남구,보행등,37.5107182,127.0546975,강남구 삼성동 172-53 도
128,강남구,보행등,37.48727594,127.0622139,강남구 개포동 504-4 천
129,강남구,보행등,37.50052609,127.0506758,강남구 역삼동 897-28 대
130,강남구,보행등,37.50033835,127.0506938,강남구 역삼동 897-27 대
131,강남구,보행등,37.5003183,127.0510982,강남구 대치동 896-2 대
132,강남구,보행등,37.519169,127.0406491,강남구 청담동 77-27 도
133,강남구,보행등,37.52073764,127.0320793,강남구 논현동 627-13 대
134,강남구,보행등,37.52102278,127.0318193,강남구 신사동 627-11 대
135,강남구,보행등,37.52193298,127.035859,강남구 논현동 647-23 대
136,강남구,보행등,37.5246443,127.0526706,강남구 청담동 139-25 도
137,강남구,보행등,37.52147857,127.0489408,강남구 청담동 77-56 도
138,강남구,보행등,37.522216,127.035591,강남구 신사동 647-18 대
139,강남구,보행등,37.52766031,127.0337812,강남구 신사동 482 대
140,강남구,보행등,37.52164245,127.0283616,강남구 신사동 602 대
141,강남구,보행등,37.50276881,127.0499345,강남구 대치동 1011-17 도
142,강남구,보행등,37.50276981,127.0496925,강남구 역삼동 805-9 도
143,강남구,보행등,37.50392552,127.0611331,강남구 대치동 951-2 대
144,강남구,보행등,37.50376703,127.061126,강남구 대치동 951-1 종
145,강남구,보행등,37.50421361,127.0620407,강남구 대치동 1012-19 도
146,강남구,보행등,37.52053917,127.0401371,강남구 청담동 77 도
147,강남구,보행등,37.51911838,127.0404461,강남구 논현동 77-27 도
148,강남구,보행등,37.52134524,127.0487259,강남구 청담동 49-8 대
149,강남구,보행등,37.4936166,127.0318213,강남구 역삼동 828-8 대
150,강남구,보행등,37.51152974,127.0572499,강남구 삼성동 73 종
151,강남구,보행등,37.48273125,127.0797455,강남구 일원동 714 학
152,강남구,보행등,37.48273125,127.0797455,강남구 일원동 714 학
153,강남구,보행등,37.48252792,127.0797842,강남구 일원동 714 학
154,강남구,보행등,37.48257504,127.0800866,강남구 일원동 714 학
155,강남구,보행등,37.51870722,127.0262883,강남구 논현동 564-18 대
156,강남구,보행등,37.5189473,127.0259641,강남구 신사동 564 차
157,강남구,보행등,37.52353487,127.0210732,강남구 압구정동 423 학
158,강남구,보행등,37.50589837,127.0343917,강남구 역삼동 233-8 대
159,강남구,보행등,37.519295,127.0524612,강남구 청담동 66-3 공
160,강남구,보행등,37.52037205,127.0585617,강남구 삼성동 79 대
161,강남구,보행등,37.51207893,127.0657497,강남구 삼성동 172-42 도
162,강남구,보행등,37.4924224,127.0406362,강남구 역삼동 777-5 대
163,강남구,보행등,37.5023206,127.0363659,강남구 역삼동 665-1 종
164,강남구,보행등,37.49126341,127.0730508,강남구 일원동 12 대
165,강남구,보행등,37.49261773,127.0874331,강남구 일원동 4-12 잡
166,강남구,보행등,37.50107501,127.0528619,강남구 대치동 896-46 대
167,강남구,보행등,37.50118962,127.0527257,강남구 대치동 896-45 대
168,강남구,보행등,37.52339877,127.0212976,강남구 신사동 423 학
169,강남구,보행등,37.49916345,127.0311727,강남구 역삼동 632-16 대
