자치구,행정동,도로명주소,시설명,시설유형,지정연도,위도,경도,근처_CCTV_여부
광진구,광장동,아차산로 552,보성유치원,유치원(일반),2009.0,37.5436567301031,127.104250290998,X
광진구,능동,광나루로 441,어린이회관유치원,유치원(일반),1997.0,37.5472457327354,127.078304321398,X
